family,method,fold,seed,run_id,run_class,n_epochs,has_best_pt,best_epoch,best_map50,best_map50_95,final_map50,final_map50_95,final_over_best,final_val_cls_loss,collapse,paired_delta_vs_rgb
P0-RGB,RGB-only,0,42,phase_f2_rgbonly_fold0_seed42,formal,50,True,42,0.319220,0.199280,0.315100,0.202280,0.9871,3.377050,False,
P0-RGB,RGB-only,0,1337,phase_f2_rgbonly_fold0_seed1337,formal,50,True,39,0.285180,0.221570,0.278700,0.217820,0.9773,3.623950,False,
P0-RGB,RGB-only,0,2024,phase_f2_rgbonly_fold0_seed2024,formal,50,True,4,0.280630,0.166150,0.205130,0.145230,0.7310,2.322640,False,
P0-RGB,RGB-only,1,42,phase_f2_rgbonly_fold1_seed42,formal,50,True,39,0.101580,0.033540,0.086910,0.030150,0.8556,4.827250,False,
P0-RGB,RGB-only,1,1337,phase_f2_rgbonly_fold1_seed1337,formal,50,True,25,0.106180,0.029640,0.101060,0.026870,0.9518,3.903020,False,
P0-RGB,RGB-only,1,2024,phase_f2_rgbonly_fold1_seed2024,formal,13,True,10,0.041320,0.010270,0.021010,0.005570,0.5085,4.891040,False,
P0-RGB,RGB-only,2,42,phase_f2_rgbonly_fold2_seed42,formal,50,True,11,0.255670,0.093200,0.191260,0.072850,0.7481,5.109540,False,
P0-RGB,RGB-only,2,1337,phase_f2_rgbonly_fold2_seed1337,formal,50,True,23,0.252090,0.189820,0.128210,0.102580,0.5086,5.795960,False,
P0-RGB,RGB-only,2,2024,phase_f2_rgbonly_fold2_seed2024,formal,50,True,16,0.255450,0.194550,0.085570,0.057740,0.3350,5.640840,True,
P0-Dual,Dual,1,42,phase_f2_dual_fold1_seed42,formal,50,True,44,0.230560,0.081400,0.227420,0.080340,0.9864,2.926460,False,0.128980
P0-Dual,Dual,1,1337,phase_f2_dual_fold1_seed1337,formal,50,True,44,0.228080,0.078510,0.226880,0.077680,0.9947,2.609140,False,0.121900
P0-Dual,Dual,1,2024,phase_f2_dual_fold1_seed2024,formal,50,True,50,0.224640,0.085280,0.224640,0.085280,1.0000,2.470240,False,0.183320
P0-Dual,Dual,2,42,phase_f2_dual_fold2_seed42,formal,2,True,2,0.000360,0.000140,0.000360,0.000140,1.0000,5.541840,False,-0.269230
P0-Dual,Dual,2,1337,phase_f2_dual_fold2_seed1337,formal,50,True,13,0.109020,0.066540,0.043120,0.016820,0.3955,6.911630,True,-0.155470
P0-Dual,Dual,2,2024,phase_f2_dual_fold2_seed2024,formal,50,True,5,0.201280,0.034650,0.096310,0.057210,0.4785,6.556430,True,-0.062120
P0-F4,NIRfree-RGB-only,2,42,phase_f4_nirfree_rgbonly_fold2_seed42,formal,80,True,52,0.269590,0.218200,0.264360,0.211090,0.9806,4.459450,False,
P0-F4,NIRfree-RGB-only,2,1337,phase_f4_nirfree_rgbonly_fold2_seed1337,formal,80,True,67,0.264490,0.165800,0.150130,0.095230,0.5676,4.680680,False,
P0-F4,NIRfree-RGB-only,2,2024,phase_f4_nirfree_rgbonly_fold2_seed2024,formal,80,True,80,0.263400,0.167340,0.263400,0.167340,1.0000,4.655370,False,
P0-F4-Dual,NIRfree-Dual,2,42,phase_f4_nirfree_rgbsafe_dual_fold2_seed42,formal,80,True,11,0.227580,0.064880,0.099920,0.063530,0.4391,5.359820,True,-0.042010
P0-F4-Dual,NIRfree-Dual,2,1337,phase_f4_nirfree_rgbsafe_dual_fold2_seed1337,formal,80,True,12,0.252130,0.142730,0.061050,0.029090,0.2421,5.488480,True,-0.012360
P0-F4-Dual,NIRfree-Dual,2,2024,phase_f4_nirfree_rgbsafe_dual_fold2_seed2024,formal,80,True,24,0.167130,0.117610,0.147900,0.093870,0.8849,5.113670,False,-0.096270
P0-IR,IR-only,2,42,phase_f5_ironly_fold2_nirfree_seed42,formal,80,True,63,0.035190,0.013740,0.003920,0.001270,0.1114,5.921610,True,-0.234400
P0-IR,IR-only,2,1337,phase_f5_ironly_fold2_nirfree_seed1337,formal,80,True,37,0.036690,0.026450,0.000340,0.000090,0.0093,5.766080,True,-0.227800
P0-G1c,G1c-cleankd_dropout,1,42,phase_f5_g1c_mcf_cleankd_dropout_fold1_seed42,exploratory,80,True,19,0.233520,0.086070,0.221150,0.079520,0.9470,3.397380,False,0.131940
P0-G1c,G1c-dropout_nokd,1,42,phase_f5_g1c_mcf_dropout_nokd_fold1_seed42,exploratory,80,True,80,0.251300,0.096310,0.251300,0.096310,1.0000,2.923480,False,0.149720
P0-G1c,G1c-dropout_nokd,1,1337,phase_f5_g1c_mcf_dropout_nokd_fold1_seed1337,exploratory,80,True,78,0.233440,0.077800,0.232330,0.077850,0.9952,2.799340,False,0.127260
P1-YOLOv11-RGBT,YOLOv11-RGBT-early,2,42,yolov11rgbt_early_fold2_nirfree_seed42,formal,80,True,31,0.095750,0.047070,0.043590,0.019020,0.4552,5.682300,True,-0.173840
P1-YOLOv11-RGBT,YOLOv11-RGBT-early,2,1337,yolov11rgbt_early_fold2_nirfree_seed1337,formal,80,True,22,0.096890,0.031760,0.055070,0.026020,0.5684,5.387850,False,-0.167600
P1-YOLOv11-RGBT,YOLOv11-RGBT-mid,2,42,yolov11rgbt_mid_fold2_nirfree_seed42,formal,80,True,29,0.145120,0.075520,0.086070,0.066720,0.5931,5.200360,False,-0.124470
P1-YOLOv11-RGBT,YOLOv11-RGBT-mid,2,1337,yolov11rgbt_mid_fold2_nirfree_seed1337,formal,80,True,16,0.128660,0.042740,0.007710,0.004350,0.0599,6.474270,True,-0.135830
P1-YOLOv11-RGBT,YOLOv11-RGBT-late,2,42,yolov11rgbt_late_fold2_nirfree_seed42,formal,80,True,51,0.173740,0.144000,0.078660,0.052940,0.4527,4.868610,True,-0.095850
P1-YOLOv11-RGBT,YOLOv11-RGBT-late,2,1337,yolov11rgbt_late_fold2_nirfree_seed1337,formal,80,True,23,0.154960,0.139090,0.118280,0.096790,0.7633,5.132240,False,-0.109530
P1-YOLOv11-RGBT,YOLOv11-RGBT-score,2,42,yolov11rgbt_score_fold2_nirfree_seed42,formal,80,True,16,0.255700,0.208350,0.223500,0.198210,0.8741,4.818930,False,-0.013890
P1-YOLOv11-RGBT,YOLOv11-RGBT-score,2,1337,yolov11rgbt_score_fold2_nirfree_seed1337,formal,80,True,4,0.256420,0.228920,0.165720,0.125370,0.6463,4.796840,False,-0.008070
P1-YOLOv11-RGBT,YOLOv11-RGBT-share,2,42,yolov11rgbt_share_fold2_nirfree_seed42,formal,80,True,29,0.255560,0.234660,0.130660,0.097060,0.5113,5.015870,False,-0.014030
P1-YOLOv11-RGBT,YOLOv11-RGBT-share,2,1337,yolov11rgbt_share_fold2_nirfree_seed1337,formal,80,True,42,0.260440,0.232750,0.105790,0.094360,0.4062,4.795410,True,-0.004050
