family,method,fold,seed,run_class,run_id,source_path,config_path,log_path,checkpoint_path,prediction_path,results_csv,status,notes
P0-RGB,RGB-only,0,42,formal,phase_f2_rgbonly_fold0_seed42,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed42,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed42/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,0,1337,formal,phase_f2_rgbonly_fold0_seed1337,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed1337,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed1337/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,0,2024,formal,phase_f2_rgbonly_fold0_seed2024,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed2024,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold0_seed2024/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,1,42,formal,phase_f2_rgbonly_fold1_seed42,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed42,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed42/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,1,1337,formal,phase_f2_rgbonly_fold1_seed1337,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed1337,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed1337/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,1,2024,formal,phase_f2_rgbonly_fold1_seed2024,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed2024,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold1_seed2024/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,2,42,formal,phase_f2_rgbonly_fold2_seed42,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed42,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed42/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,2,1337,formal,phase_f2_rgbonly_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed1337/results.csv,available,F2 RGB-only baseline
P0-RGB,RGB-only,2,2024,formal,phase_f2_rgbonly_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_rgbonly_fold2_seed2024/results.csv,available,F2 RGB-only baseline
P0-Dual,Dual,1,42,formal,phase_f2_dual_fold1_seed42,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed42,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed42/results.csv,available,F2 naive dual baseline
P0-Dual,Dual,1,1337,formal,phase_f2_dual_fold1_seed1337,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed1337,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed1337/results.csv,available,F2 naive dual baseline
P0-Dual,Dual,1,2024,formal,phase_f2_dual_fold1_seed2024,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed2024,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_dual_fold1_seed2024/results.csv,available,F2 naive dual baseline
P0-Dual,Dual,2,42,formal,phase_f2_dual_fold2_seed42,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed42,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed42/results.csv,available,F2 naive dual baseline
P0-Dual,Dual,2,1337,formal,phase_f2_dual_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed1337/results.csv,available,F2 naive dual baseline
P0-Dual,Dual,2,2024,formal,phase_f2_dual_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f2_dual_fold2_seed2024/results.csv,available,F2 naive dual baseline
P0-F4,NIRfree-RGB-only,2,42,formal,phase_f4_nirfree_rgbonly_fold2_seed42,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed42,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed42/results.csv,available,F4 NIR-free RGB-only baseline
P0-F4,NIRfree-RGB-only,2,1337,formal,phase_f4_nirfree_rgbonly_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed1337/results.csv,available,F4 NIR-free RGB-only baseline
P0-F4,NIRfree-RGB-only,2,2024,formal,phase_f4_nirfree_rgbonly_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbonly_fold2_seed2024/results.csv,available,F4 NIR-free RGB-only baseline
P0-F4-Dual,NIRfree-Dual,2,42,formal,phase_f4_nirfree_rgbsafe_dual_fold2_seed42,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed42,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed42/results.csv,available,F4 NIR-free dual baseline
P0-F4-Dual,NIRfree-Dual,2,1337,formal,phase_f4_nirfree_rgbsafe_dual_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed1337,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed1337/results.csv,available,F4 NIR-free dual baseline
P0-F4-Dual,NIRfree-Dual,2,2024,formal,phase_f4_nirfree_rgbsafe_dual_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed2024,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed2024/args.yaml,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed2024/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f4_nirfree_rgbsafe_dual_fold2_seed2024/results.csv,available,F4 NIR-free dual baseline
P0-IR,IR-only,2,42,formal,phase_f5_ironly_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed42/results.csv,available,F5 IR-only fold2
P0-IR,IR-only,2,1337,formal,phase_f5_ironly_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f5_ironly_fold2_nirfree_seed1337/results.csv,available,F5 IR-only fold2
P0-G1a,G1a-rgb,1,42,formal,g1a_rgb_fold1_seed42,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed42_rgb.jsonl,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed42_rgb.jsonl,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold1.csv,available,G1a GateA prediction JSONL
P0-G1a,G1a-dual,1,42,formal,g1a_dual_fold1_seed42,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed42_dual.jsonl,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed42_dual.jsonl,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold1.csv,available,G1a GateA prediction JSONL
P0-G1a,G1a-rgb,1,1337,formal,g1a_rgb_fold1_seed1337,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed1337_rgb.jsonl,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed1337_rgb.jsonl,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold1.csv,available,G1a GateA prediction JSONL
P0-G1a,G1a-dual,1,1337,formal,g1a_dual_fold1_seed1337,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed1337_dual.jsonl,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold1_seed1337_dual.jsonl,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold1.csv,available,G1a GateA prediction JSONL
P0-G1a,G1a-gate-sweep,1,all,formal,g1a_gate_sweep_fold1,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold1.csv,,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold1.csv,available,G1a gate sweep CSV
P0-G1a,G1a-rgb,2,42,formal,g1a_rgb_fold2_seed42,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold2_seed42_rgb.jsonl,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold2_seed42_rgb.jsonl,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold2.csv,available,G1a GateA prediction JSONL
P0-G1a,G1a-dual,2,42,formal,g1a_dual_fold2_seed42,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold2_seed42_dual.jsonl,,,,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/predictions_fold2_seed42_dual.jsonl,/mnt/topic2_workspace/runs/f5_g1a_safe_late_gate_20260607/gate_sweep_fold2.csv,available,G1a GateA prediction JSONL
